subject,roi,cluster_id,hit_rate,birth,death,persistence,eps_used,step,node_index,nsdId
1,V1,1,0.965,0.5871347188949585,1.395660400390625,0.81419837474823,0.62784463763237,0,79,42172
1,V1,1,0.965,0.5871347188949585,1.395660400390625,0.81419837474823,0.62784463763237,1,2,11618
1,V1,1,0.965,0.5871347188949585,1.395660400390625,0.81419837474823,0.62784463763237,2,51,35987
1,V1,1,0.965,0.5871347188949585,1.395660400390625,0.81419837474823,0.62784463763237,3,121,60187
1,V1,1,0.965,0.5871347188949585,1.395660400390625,0.81419837474823,0.62784463763237,4,79,42172
1,V1,2,0.805,0.6245939135551453,1.4776008129119873,0.8389406204223633,0.6665409445762634,0,3,11838
1,V1,2,0.805,0.6245939135551453,1.4776008129119873,0.8389406204223633,0.6665409445762634,1,16,17486
1,V1,2,0.805,0.6245939135551453,1.4776008129119873,0.8389406204223633,0.6665409445762634,2,51,35987
1,V1,2,0.805,0.6245939135551453,1.4776008129119873,0.8389406204223633,0.6665409445762634,3,94,4931
1,V1,2,0.805,0.6245939135551453,1.4776008129119873,0.8389406204223633,0.6665409445762634,4,3,11838
1,V2,1,0.845,0.6732333302497864,1.4184259176254272,0.7364674210548401,0.7100567013025284,0,51,35987
1,V2,1,0.845,0.6732333302497864,1.4184259176254272,0.7364674210548401,0.7100567013025284,1,18,19934
1,V2,1,0.845,0.6732333302497864,1.4184259176254272,0.7364674210548401,0.7100567013025284,2,79,42172
1,V2,1,0.845,0.6732333302497864,1.4184259176254272,0.7364674210548401,0.7100567013025284,3,77,41815
1,V2,1,0.845,0.6732333302497864,1.4184259176254272,0.7364674210548401,0.7100567013025284,4,51,35987
1,V3,1,0.98,0.8144993185997009,1.6418120861053467,0.8275908827781677,0.8558788627386094,0,35,29382
1,V3,1,0.98,0.8144993185997009,1.6418120861053467,0.8275908827781677,0.8558788627386094,1,51,35987
1,V3,1,0.98,0.8144993185997009,1.6418120861053467,0.8275908827781677,0.8558788627386094,2,98,50654
1,V3,1,0.98,0.8144993185997009,1.6418120861053467,0.8275908827781677,0.8558788627386094,3,109,55006
1,V3,1,0.98,0.8144993185997009,1.6418120861053467,0.8275908827781677,0.8558788627386094,4,35,29382
1,PIT,4,0.885,1.2673346996307373,3.1671717166900635,1.879866123199463,1.3613280057907104,0,88,46807
1,PIT,4,0.885,1.2673346996307373,3.1671717166900635,1.879866123199463,1.3613280057907104,1,1,11522
1,PIT,4,0.885,1.2673346996307373,3.1671717166900635,1.879866123199463,1.3613280057907104,2,108,54079
1,PIT,4,0.885,1.2673346996307373,3.1671717166900635,1.879866123199463,1.3613280057907104,3,115,56155
1,PIT,4,0.885,1.2673346996307373,3.1671717166900635,1.879866123199463,1.3613280057907104,4,88,46807
1,PH,6,0.84,0.8945249319076538,2.8562238216400146,1.980985164642334,0.9935741901397706,0,137,67803
1,PH,6,0.84,0.8945249319076538,2.8562238216400146,1.980985164642334,0.9935741901397706,1,8,12923
1,PH,6,0.84,0.8945249319076538,2.8562238216400146,1.980985164642334,0.9935741901397706,2,53,36624
1,PH,6,0.84,0.8945249319076538,2.8562238216400146,1.980985164642334,0.9935741901397706,3,155,9028
1,PH,6,0.84,0.8945249319076538,2.8562238216400146,1.980985164642334,0.9935741901397706,4,137,67803
1,PH,5,0.835,0.662336528301239,2.8139748573303223,2.1174946427345276,0.7682112604379654,0,42,3158
1,PH,5,0.835,0.662336528301239,2.8139748573303223,2.1174946427345276,0.7682112604379654,1,53,36624
1,PH,5,0.835,0.662336528301239,2.8139748573303223,2.1174946427345276,0.7682112604379654,2,8,12923
1,PH,5,0.835,0.662336528301239,2.8139748573303223,2.1174946427345276,0.7682112604379654,3,78,41928
1,PH,5,0.835,0.662336528301239,2.8139748573303223,2.1174946427345276,0.7682112604379654,4,42,3158
1,STSva,5,0.905,0.6023944616317749,1.1289352178573608,0.5334076285362244,0.6290648430585861,0,89,47688
1,STSva,5,0.905,0.6023944616317749,1.1289352178573608,0.5334076285362244,0.6290648430585861,1,3,11838
1,STSva,5,0.905,0.6023944616317749,1.1289352178573608,0.5334076285362244,0.6290648430585861,2,99,50812
1,STSva,5,0.905,0.6023944616317749,1.1289352178573608,0.5334076285362244,0.6290648430585861,3,122,60252
1,STSva,5,0.905,0.6023944616317749,1.1289352178573608,0.5334076285362244,0.6290648430585861,4,89,47688
1,STSva,7,0.81,0.5292345285415649,1.0330281257629395,0.491909921169281,0.553830024600029,0,17,19437
1,STSva,7,0.81,0.5292345285415649,1.0330281257629395,0.491909921169281,0.553830024600029,1,51,35987
1,STSva,7,0.81,0.5292345285415649,1.0330281257629395,0.491909921169281,0.553830024600029,2,38,30408
1,STSva,7,0.81,0.5292345285415649,1.0330281257629395,0.491909921169281,0.553830024600029,3,52,36577
1,STSva,7,0.81,0.5292345285415649,1.0330281257629395,0.491909921169281,0.553830024600029,4,17,19437
1,MT,1,0.92,1.9922282695770264,3.9169538021087646,1.9539834260940552,2.089927440881729,0,12,14899
1,MT,1,0.92,1.9922282695770264,3.9169538021087646,1.9539834260940552,2.089927440881729,1,62,38642
1,MT,1,0.92,1.9922282695770264,3.9169538021087646,1.9539834260940552,2.089927440881729,2,133,66217
1,MT,1,0.92,1.9922282695770264,3.9169538021087646,1.9539834260940552,2.089927440881729,3,126,62007
1,MT,1,0.92,1.9922282695770264,3.9169538021087646,1.9539834260940552,2.089927440881729,4,12,14899
1,LO2,4,0.865,0.8830373883247375,2.157979965209961,1.2630323767662048,0.9461890071630478,0,36,29838
1,LO2,4,0.865,0.8830373883247375,2.157979965209961,1.2630323767662048,0.9461890071630478,1,91,48531
1,LO2,4,0.865,0.8830373883247375,2.157979965209961,1.2630323767662048,0.9461890071630478,2,88,46807
1,LO2,4,0.865,0.8830373883247375,2.157979965209961,1.2630323767662048,0.9461890071630478,3,115,56155
1,LO2,4,0.865,0.8830373883247375,2.157979965209961,1.2630323767662048,0.9461890071630478,4,36,29838
2,V2,2,0.895,0.6354694366455078,0.9743690490722656,0.3365347981452942,0.6522961765527725,0,53,36624
2,V2,2,0.895,0.6354694366455078,0.9743690490722656,0.3365347981452942,0.6522961765527725,1,35,29382
2,V2,2,0.895,0.6354694366455078,0.9743690490722656,0.3365347981452942,0.6522961765527725,2,3,11838
2,V2,2,0.895,0.6354694366455078,0.9743690490722656,0.3365347981452942,0.6522961765527725,3,45,31838
2,V2,2,0.895,0.6354694366455078,0.9743690490722656,0.3365347981452942,0.6522961765527725,4,42,3158
2,V2,2,0.895,0.6354694366455078,0.9743690490722656,0.3365347981452942,0.6522961765527725,5,59,37222
2,V2,2,0.895,0.6354694366455078,0.9743690490722656,0.3365347981452942,0.6522961765527725,6,53,36624
2,V3,1,0.96,0.6304028034210205,1.0253143310546875,0.394911527633667,0.6501483798027039,0,83,43985
2,V3,1,0.96,0.6304028034210205,1.0253143310546875,0.394911527633667,0.6501483798027039,1,148,72210
2,V3,1,0.96,0.6304028034210205,1.0253143310546875,0.394911527633667,0.6501483798027039,2,12,14899
2,V3,1,0.96,0.6304028034210205,1.0253143310546875,0.394911527633667,0.6501483798027039,3,86,45946
2,V3,1,0.96,0.6304028034210205,1.0253143310546875,0.394911527633667,0.6501483798027039,4,83,43985
2,PIT,1,0.825,1.7950587272644043,2.980339765548706,1.1906116008758545,1.854589307308197,0,59,37222
2,PIT,1,0.825,1.7950587272644043,2.980339765548706,1.1906116008758545,1.854589307308197,1,52,36577
2,PIT,1,0.825,1.7950587272644043,2.980339765548706,1.1906116008758545,1.854589307308197,2,53,36624
2,PIT,1,0.825,1.7950587272644043,2.980339765548706,1.1906116008758545,1.854589307308197,3,141,69615
2,PIT,1,0.825,1.7950587272644043,2.980339765548706,1.1906116008758545,1.854589307308197,4,59,37222
2,PH,2,0.905,2.5246644020080566,4.426232814788818,1.9450428485870361,2.6219165444374086,0,69,40722
2,PH,2,0.905,2.5246644020080566,4.426232814788818,1.9450428485870361,2.6219165444374086,1,140,69215
2,PH,2,0.905,2.5246644020080566,4.426232814788818,1.9450428485870361,2.6219165444374086,2,25,24641
2,PH,2,0.905,2.5246644020080566,4.426232814788818,1.9450428485870361,2.6219165444374086,3,113,55527
2,PH,2,0.905,2.5246644020080566,4.426232814788818,1.9450428485870361,2.6219165444374086,4,69,40722
2,STSva,3,0.965,1.2246686220169067,1.9389318227767944,0.7155263423919678,1.2604449391365051,0,4,11933
2,STSva,3,0.965,1.2246686220169067,1.9389318227767944,0.7155263423919678,1.2604449391365051,1,8,12923
2,STSva,3,0.965,1.2246686220169067,1.9389318227767944,0.7155263423919678,1.2604449391365051,2,45,31838
2,STSva,3,0.965,1.2246686220169067,1.9389318227767944,0.7155263423919678,1.2604449391365051,3,100,51186
2,STSva,3,0.965,1.2246686220169067,1.9389318227767944,0.7155263423919678,1.2604449391365051,4,4,11933
2,MT,2,0.935,1.1479771137237549,2.370013952255249,1.2294721603393555,1.2094507217407227,0,37,29887
2,MT,2,0.935,1.1479771137237549,2.370013952255249,1.2294721603393555,1.2094507217407227,1,2,11618
2,MT,2,0.935,1.1479771137237549,2.370013952255249,1.2294721603393555,1.2094507217407227,2,4,11933
2,MT,2,0.935,1.1479771137237549,2.370013952255249,1.2294721603393555,1.2094507217407227,3,47,33246
2,MT,2,0.935,1.1479771137237549,2.370013952255249,1.2294721603393555,1.2094507217407227,4,37,29887
2,MT,0,0.81,0.843801736831665,2.329941511154175,1.4861397743225098,0.9181087255477905,0,118,59047
2,MT,0,0.81,0.843801736831665,2.329941511154175,1.4861397743225098,0.9181087255477905,1,2,11618
2,MT,0,0.81,0.843801736831665,2.329941511154175,1.4861397743225098,0.9181087255477905,2,4,11933
2,MT,0,0.81,0.843801736831665,2.329941511154175,1.4861397743225098,0.9181087255477905,3,122,60252
2,MT,0,0.81,0.843801736831665,2.329941511154175,1.4861397743225098,0.9181087255477905,4,118,59047
2,LO2,4,0.82,1.9479658603668213,3.0212790966033936,1.099263072013855,2.002929013967514,0,68,40549
2,LO2,4,0.82,1.9479658603668213,3.0212790966033936,1.099263072013855,2.002929013967514,1,66,39403
2,LO2,4,0.82,1.9479658603668213,3.0212790966033936,1.099263072013855,2.002929013967514,2,45,31838
2,LO2,4,0.82,1.9479658603668213,3.0212790966033936,1.099263072013855,2.002929013967514,3,143,70096
2,LO2,4,0.82,1.9479658603668213,3.0212790966033936,1.099263072013855,2.002929013967514,4,68,40549
3,V1,0,0.895,0.8265714049339294,1.9042500257492065,1.0562682747840881,0.8793848186731339,0,53,36624
3,V1,0,0.895,0.8265714049339294,1.9042500257492065,1.0562682747840881,0.8793848186731339,1,58,37060
3,V1,0,0.895,0.8265714049339294,1.9042500257492065,1.0562682747840881,0.8793848186731339,2,63,38818
3,V1,0,0.895,0.8265714049339294,1.9042500257492065,1.0562682747840881,0.8793848186731339,3,154,8808
3,V1,0,0.895,0.8265714049339294,1.9042500257492065,1.0562682747840881,0.8793848186731339,4,53,36624
3,V1,1,0.885,0.9828194975852966,1.9602420330047607,0.9700941443443298,1.031324204802513,0,17,19437
3,V1,1,0.885,0.9828194975852966,1.9602420330047607,0.9700941443443298,1.031324204802513,1,21,21109
3,V1,1,0.885,0.9828194975852966,1.9602420330047607,0.9700941443443298,1.031324204802513,2,62,38642
3,V1,1,0.885,0.9828194975852966,1.9602420330047607,0.9700941443443298,1.031324204802513,3,22,21280
3,V1,1,0.885,0.9828194975852966,1.9602420330047607,0.9700941443443298,1.031324204802513,4,17,19437
3,V1,2,0.85,0.9314317107200623,1.8556843996047974,0.9275365471839905,0.9778085380792618,0,63,38818
3,V1,2,0.85,0.9314317107200623,1.8556843996047974,0.9275365471839905,0.9778085380792618,1,21,21109
3,V1,2,0.85,0.9314317107200623,1.8556843996047974,0.9275365471839905,0.9778085380792618,2,17,19437
3,V1,2,0.85,0.9314317107200623,1.8556843996047974,0.9275365471839905,0.9778085380792618,3,126,62007
3,V1,2,0.85,0.9314317107200623,1.8556843996047974,0.9275365471839905,0.9778085380792618,4,63,38818
3,V2,4,0.885,0.9098846912384033,1.629546046257019,0.708016037940979,0.9452854931354523,0,17,19437
3,V2,4,0.885,0.9098846912384033,1.629546046257019,0.708016037940979,0.9452854931354523,1,20,20821
3,V2,4,0.885,0.9098846912384033,1.629546046257019,0.708016037940979,0.9452854931354523,2,34,28756
3,V2,4,0.885,0.9098846912384033,1.629546046257019,0.708016037940979,0.9452854931354523,3,109,55006
3,V2,4,0.885,0.9098846912384033,1.629546046257019,0.708016037940979,0.9452854931354523,4,17,19437
3,V2,5,0.825,1.0262726545333862,1.7021933794021606,0.6810315847396851,1.0603242337703704,0,2,11618
3,V2,5,0.825,1.0262726545333862,1.7021933794021606,0.6810315847396851,1.0603242337703704,1,34,28756
3,V2,5,0.825,1.0262726545333862,1.7021933794021606,0.6810315847396851,1.0603242337703704,2,48,33544
3,V2,5,0.825,1.0262726545333862,1.7021933794021606,0.6810315847396851,1.0603242337703704,3,133,66217
3,V2,5,0.825,1.0262726545333862,1.7021933794021606,0.6810315847396851,1.0603242337703704,4,2,11618
3,V3,2,0.965,1.2224591970443726,2.421015501022339,1.1985563039779663,1.2823870122432708,0,120,59818
3,V3,2,0.965,1.2224591970443726,2.421015501022339,1.1985563039779663,1.2823870122432708,1,52,36577
3,V3,2,0.965,1.2224591970443726,2.421015501022339,1.1985563039779663,1.2823870122432708,2,48,33544
3,V3,2,0.965,1.2224591970443726,2.421015501022339,1.1985563039779663,1.2823870122432708,3,145,71754
3,V3,2,0.965,1.2224591970443726,2.421015501022339,1.1985563039779663,1.2823870122432708,4,120,59818
3,V4,0,0.93,0.7457041144371033,2.377058744430542,1.655099093914032,0.8284590691328049,0,72,40925
3,V4,0,0.93,0.7457041144371033,2.377058744430542,1.655099093914032,0.8284590691328049,1,0,10108
3,V4,0,0.93,0.7457041144371033,2.377058744430542,1.655099093914032,0.8284590691328049,2,20,20821
3,V4,0,0.93,0.7457041144371033,2.377058744430542,1.655099093914032,0.8284590691328049,3,130,64499
3,V4,0,0.93,0.7457041144371033,2.377058744430542,1.655099093914032,0.8284590691328049,4,72,40925
3,V4,1,0.815,0.616497814655304,2.294572114944458,1.6946179270744324,0.7012287110090256,0,57,36979
3,V4,1,0.815,0.616497814655304,2.294572114944458,1.6946179270744324,0.7012287110090256,1,53,36624
3,V4,1,0.815,0.616497814655304,2.294572114944458,1.6946179270744324,0.7012287110090256,2,61,38247
3,V4,1,0.815,0.616497814655304,2.294572114944458,1.6946179270744324,0.7012287110090256,3,128,63932
3,V4,1,0.815,0.616497814655304,2.294572114944458,1.6946179270744324,0.7012287110090256,4,57,36979
3,PIT,3,0.985,2.3755249977111816,4.475094318389893,2.1050684452056885,2.480778419971466,0,62,38642
3,PIT,3,0.985,2.3755249977111816,4.475094318389893,2.1050684452056885,2.480778419971466,1,20,20821
3,PIT,3,0.985,2.3755249977111816,4.475094318389893,2.1050684452056885,2.480778419971466,2,65,38979
3,PIT,3,0.985,2.3755249977111816,4.475094318389893,2.1050684452056885,2.480778419971466,3,134,66581
3,PIT,3,0.985,2.3755249977111816,4.475094318389893,2.1050684452056885,2.480778419971466,4,62,38642
3,PH,3,0.89,1.8558199405670166,3.4664509296417236,1.6095622777938843,1.9362980544567108,0,38,30408
3,PH,3,0.89,1.8558199405670166,3.4664509296417236,1.6095622777938843,1.9362980544567108,1,19,20055
3,PH,3,0.89,1.8558199405670166,3.4664509296417236,1.6095622777938843,1.9362980544567108,2,53,36624
3,PH,3,0.89,1.8558199405670166,3.4664509296417236,1.6095622777938843,1.9362980544567108,3,61,38247
3,PH,3,0.89,1.8558199405670166,3.4664509296417236,1.6095622777938843,1.9362980544567108,4,38,30408
3,PH,0,0.805,1.598370909690857,3.4587652683258057,1.8145647048950195,1.6890991449356079,0,59,37222
3,PH,0,0.805,1.598370909690857,3.4587652683258057,1.8145647048950195,1.6890991449356079,1,19,20055
3,PH,0,0.805,1.598370909690857,3.4587652683258057,1.8145647048950195,1.6890991449356079,2,53,36624
3,PH,0,0.805,1.598370909690857,3.4587652683258057,1.8145647048950195,1.6890991449356079,3,134,66581
3,PH,0,0.805,1.598370909690857,3.4587652683258057,1.8145647048950195,1.6890991449356079,4,59,37222
3,STSva,1,0.995,1.1005570888519287,2.2108330726623535,1.1159957647323608,1.1563568770885468,0,36,29838
3,STSva,1,0.995,1.1005570888519287,2.2108330726623535,1.1159957647323608,1.1563568770885468,1,25,24641
3,STSva,1,0.995,1.1005570888519287,2.2108330726623535,1.1159957647323608,1.1563568770885468,2,109,55006
